"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GDP","TOT","USD_CAP","A","2020",55690.9186,
"AUT","GDP","TOT","USD_CAP","A","2020",57253.300563,
"BEL","GDP","TOT","USD_CAP","A","2020",54539.032525,"P"
"CAN","GDP","TOT","USD_CAP","A","2020",47228.372488,
"CZE","GDP","TOT","USD_CAP","A","2020",42813.74134,
"DNK","GDP","TOT","USD_CAP","A","2020",60840.940164,
"FIN","GDP","TOT","USD_CAP","A","2020",52289.303157,
"FRA","GDP","TOT","USD_CAP","A","2020",47823.919578,
"DEU","GDP","TOT","USD_CAP","A","2020",56476.934309,"P"
"GRC","GDP","TOT","USD_CAP","A","2020",28413.784684,"P"
"HUN","GDP","TOT","USD_CAP","A","2020",34156.840044,
"ISL","GDP","TOT","USD_CAP","A","2020",54649.872164,
"IRL","GDP","TOT","USD_CAP","A","2020",94028.901163,
"ITA","GDP","TOT","USD_CAP","A","2020",43140.246576,
"JPN","GDP","TOT","USD_CAP","A","2020",41770.933602,
"KOR","GDP","TOT","USD_CAP","A","2020",44698.282816,
"LUX","GDP","TOT","USD_CAP","A","2020",119871.429414,
"MEX","GDP","TOT","USD_CAP","A","2020",18466.909979,"P"
"NLD","GDP","TOT","USD_CAP","A","2020",59815.501543,"P"
"NZL","GDP","TOT","USD_CAP","A","2020",45414.702452,
"NOR","GDP","TOT","USD_CAP","A","2020",64166.765766,
"POL","GDP","TOT","USD_CAP","A","2020",34893.459765,
"PRT","GDP","TOT","USD_CAP","A","2020",34952.243057,
"SVK","GDP","TOT","USD_CAP","A","2020",32898.852987,
"ESP","GDP","TOT","USD_CAP","A","2020",37992.368883,"P"
"SWE","GDP","TOT","USD_CAP","A","2020",56135.141361,
"CHE","GDP","TOT","USD_CAP","A","2020",70804.014012,
"TUR","GDP","TOT","USD_CAP","A","2020",27971.203588,
"GBR","GDP","TOT","USD_CAP","A","2020",45867.757803,
"USA","GDP","TOT","USD_CAP","A","2020",63480.861222,
"CHL","GDP","TOT","USD_CAP","A","2020",24606.968439,
"CHN","GDP","TOT","USD_CAP","A","2020",17176.865661,
"COL","GDP","TOT","USD_CAP","A","2020",15650.441829,"P"
"EST","GDP","TOT","USD_CAP","A","2020",39456.812096,
"ISR","GDP","TOT","USD_CAP","A","2020",40223.17989,
"RUS","GDP","TOT","USD_CAP","A","2020",29819.046969,"E"
"SVN","GDP","TOT","USD_CAP","A","2020",40860.470781,
"ZAF","GDP","TOT","USD_CAP","A","2020",12293.489021,
"OECD","GDP","TOT","USD_CAP","A","2020",45354.564427,"P"
"OECDE","GDP","TOT","USD_CAP","A","2020",44609.284861,"P"
"LVA","GDP","TOT","USD_CAP","A","2020",33008.225642,
"LTU","GDP","TOT","USD_CAP","A","2020",40124.47344,
"SAU","GDP","TOT","USD_CAP","A","2020",46378.343249,
"EA19","GDP","TOT","USD_CAP","A","2020",48238.265758,
"ARG","GDP","TOT","USD_CAP","A","2020",20769.015441,
"CRI","GDP","TOT","USD_CAP","A","2020",21763.124576,
"BGR","GDP","TOT","USD_CAP","A","2020",25167.305528,
"HRV","GDP","TOT","USD_CAP","A","2020",29690.20613,
"CYP","GDP","TOT","USD_CAP","A","2020",40897.780537,"P"
"MLT","GDP","TOT","USD_CAP","A","2020",44509.304787,
"ROU","GDP","TOT","USD_CAP","A","2020",33080.128126,"P"
"ZMB","GDP","TOT","USD_CAP","A","2020",3358.004891,
"HKG","GDP","TOT","USD_CAP","A","2020",58988.697181,"E"
"MDG","GDP","TOT","USD_CAP","A","2020",1540.394877,"E"
"MAR","GDP","TOT","USD_CAP","A","2020",8051.435771,"E"
"SGP","GDP","TOT","USD_CAP","A","2020",98148.67364,
"EU27_2020","GDP","TOT","USD_CAP","A","2020",45843.543522,
"ALB","GDP","TOT","USD_CAP","A","2020",14033.967211,"P"
"SRB","GDP","TOT","USD_CAP","A","2020",19547.72567,
"GEO","GDP","TOT","USD_CAP","A","2020",14731.202573,
"CMR","GDP","TOT","USD_CAP","A","2020",3867.183996,
"SEN","GDP","TOT","USD_CAP","A","2020",3513.149951,
